citizen_id,party_voted_past,mvar1,mvar2,mvar3,mvar4,mvar5,mvar6,mvar7,mvar8,mvar9,mvar10,mvar11,mvar12,mvar13,mvar14,mvar15,mvar16,mvar17,mvar18,mvar19,mvar20,mvar21,mvar22,mvar23,mvar24,mvar25,v1,v2,v3,v4,v5
C70001,Centaur,13,1,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,28,2,0,0,0
C70002,Ebony,0,6,7,0,0,0,3,2,0,0,0,0,1,0,0,0,2,2,0,0,0,8,9,0,0,0,19,21,0,0
C70003,Centaur,5,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,24,0,0,0,0
C70004,Ebony,14,7,3,15,0,4,4,1,8,0,3,1,0,3,0,3,1,2,0,0,15,15,15,15,0,39,28,21,41,0
C70005,Cosmos,0,0,0,0,7,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,27
C70006,Ebony,3,17,0,2,0,1,2,0,0,0,1,4,0,1,0,0,5,0,0,0,15,15,0,15,0,20,43,0,18,0
C70007,Odyssey,0,3,15,13,0,0,2,2,4,0,0,0,4,3,0,0,1,3,0,0,0,15,15,15,0,0,21,39,35,0
C70008,Odyssey,1,1,0,11,3,1,0,0,9,1,0,0,0,1,1,0,1,0,0,0,12,0,0,15,13,14,2,0,36,18
C70009,Ebony,0,15,0,0,0,0,9,0,0,0,0,1,0,0,0,0,3,0,0,0,0,15,0,0,0,0,43,0,0,0
C70010,Odyssey,0,0,0,15,0,0,0,0,8,0,0,0,0,2,0,0,0,0,3,0,0,15,0,14,0,0,15,0,42,0
C70011,Centaur,5,1,2,5,0,5,1,2,1,0,0,0,0,1,0,0,0,0,0,0,15,15,15,15,0,25,17,19,22,0
C70012,Centaur,12,0,0,0,0,4,0,0,0,0,3,0,0,0,0,2,0,0,0,0,15,0,0,0,0,36,0,0,0,0
C70013,Odyssey,0,0,0,10,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15,0,0,0,0,34,0
C70014,Cosmos,9,0,0,0,17,1,0,0,0,4,0,0,0,0,4,1,0,0,0,0,15,0,0,0,15,26,0,0,0,40
