citizen_id,party_voted_past,mvar1,mvar2,mvar3,mvar4,mvar5,mvar6,mvar7,mvar8,mvar9,mvar10,mvar11,mvar12,mvar13,mvar14,mvar15,mvar16,mvar17,mvar18,mvar19,mvar20,mvar21,mvar22,mvar23,mvar24,mvar25,v1,v2,v3,v4,v5
C70001,Centaur,0.619047619,0.047619048,0,0,0,0.619047619,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0,0,0,1.371428571,0.097619048,0,0,0
C70002,Ebony,0,0.285714286,0.333333333,0,0,0,0.15,0.095238095,0,0,0,0,0.142857143,0,0,0,0.111111111,0.125,0,0,0,0.533333333,0.6,0,0,0,1.08015873,1.296428571,0,0
C70003,Centaur,0.238095238,0,0,0,0,0.142857143,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.492063492,0,0,0,0
C70004,Ebony,0.666666667,0.333333333,0.142857143,0.714285714,0,0.19047619,0.2,0.047619048,0.380952381,0,0.333333333,0.166666667,0,0.333333333,0,0.166666667,0.055555556,0.125,0,0,1,1,1,1,0,2.357142857,1.755555556,1.31547619,2.428571429,0
C70005,Cosmos,0,0,0,0,0.333333333,0,0,0,0,0.19047619,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.634920635
C70006,Ebony,0.142857143,0.80952381,0,0.095238095,0,0.047619048,0.1,0,0,0,0.111111111,0.666666667,0,0.111111111,0,0,0.277777778,0,0,0,1,1,0,1,0,1.301587302,2.853968254,0,1.206349206,0
C70007,Odyssey,0,0.142857143,0.714285714,0.619047619,0,0,0.1,0.095238095,0.19047619,0,0,0,0.571428571,0.333333333,0,0,0.055555556,0.1875,0,0,0,1,1,1,0,0,1.298412698,2.568452381,2.142857143,0
C70008,Odyssey,0.047619048,0.047619048,0,0.523809524,0.142857143,0.047619048,0,0,0.428571429,0.047619048,0,0,0,0.111111111,0.111111111,0,0.055555556,0,0,0,0.8,0,0,1,0.866666667,0.895238095,0.103174603,0,2.063492063,1.168253968
C70009,Ebony,0,0.714285714,0,0,0,0,0.45,0,0,0,0,0.166666667,0,0,0,0,0.166666667,0,0,0,0,1,0,0,0,0,2.497619048,0,0,0
C70010,Odyssey,0,0,0,0.714285714,0,0,0,0,0.380952381,0,0,0,0,0.222222222,0,0,0,0,0.272727273,0,0,1,0,0.933333333,0,0,1,0,2.523520924,0
C70011,Centaur,0.238095238,0.047619048,0.095238095,0.238095238,0,0.238095238,0.05,0.095238095,0.047619048,0,0,0,0,0.111111111,0,0,0,0,0,0,1,1,1,1,0,1.476190476,1.097619048,1.19047619,1.396825397,0
C70012,Centaur,0.571428571,0,0,0,0,0.19047619,0,0,0,0,0.333333333,0,0,0,0,0.111111111,0,0,0,0,1,0,0,0,0,2.206349206,0,0,0,0
C70013,Odyssey,0,0,0,0.476190476,0,0,0,0,0.333333333,0,0,0,0,0.111111111,0,0,0,0,0.090909091,0,0,0,0,1,0,0,0,0,2.011544012,0
C70014,Cosmos,0.428571429,0,0,0,0.80952381,0.047619048,0,0,0,0.19047619,0,0,0,0,0.444444444,0.055555556,0,0,0,0,1,0,0,0,1,1.531746032,0,0,0,2.444444444
C70015,Odyssey,0.142857143,0.095238095,0,0.666666667,0.142857143,0.142857143,0.1,0,0.428571429,0.047619048,0,0,0,0.111111111,0.111111111,0,0,0,0.181818182,0,1,1,0,1,1,1.285714286,1.195238095,0,2.388167388,1.301587302
C70016,Tokugawa,0.428571429,0.333333333,0.571428571,0,0.19047619,0.333333333,0.2,0.333333333,0,0.095238095,0.111111111,0,0,0,0.111111111,0,0.166666667,0.3125,0,0,1,1,0.933333333,0,0.866666667,1.873015873,1.7,2.150595238,0,1.263492063
C70017,Cosmos,0,0.095238095,0,0,0.19047619,0,0.1,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.133333333,0,0.195238095,0,0,0.571428571
C70018,Centaur,0.428571429,0.047619048,0,0.142857143,0.142857143,0.047619048,0,0,0.095238095,0.142857143,0,0,0,0,0,0.444444444,0.055555556,0,0.090909091,0,0.733333333,0,0,1,0,1.653968254,0.103174603,0,1.329004329,0.285714286
C70019,Centaur,0.047619048,0,0,0.095238095,0,0.047619048,0,0,0.095238095,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.095238095,0,0,1.19047619,0
C70020,Centaur,0.333333333,0,0,0.952380952,0,0.238095238,0,0,0.714285714,0,0,0,0,0.222222222,0,0.111111111,0,0,0.090909091,0,1,0,0,1,1,1.682539683,0,0,2.97979798,1
C70021,Ebony,0,0.428571429,0,0,0,0,0.1,0,0,0,0,0.166666667,0,0,0,0,0.222222222,0,0,0,0,1,0,0,0,0,1.917460317,0,0,0
C70022,Odyssey,0,0,0,0.285714286,0.047619048,0,0,0,0.285714286,0.047619048,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1.571428571,1.095238095
C70023,Ebony,0.047619048,0.19047619,0.333333333,0,0,0.047619048,0.1,0.047619048,0,0,0,0.166666667,0.428571429,0,0,0,0,0,0,0,0.466666667,0.2,0.666666667,0,0,0.561904762,0.657142857,1.476190476,0,0
C70024,Centaur,0.285714286,0,0,0,0,0.095238095,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,1,0,0,1,1,1.603174603,0,0,1,1
C70025,Odyssey,0.047619048,0.047619048,0,0.19047619,0.047619048,0.047619048,0,0,0.19047619,0.047619048,0,0,0,0,0,0,0.055555556,0,0,0,0.733333333,0.466666667,0,1,0.466666667,0.828571429,0.56984127,0,1.380952381,0.561904762
C70026,Odyssey,0,0,0,0.333333333,0,0,0,0,0.047619048,0,0,0,0,0.111111111,0,0,0,0,0.090909091,0,0,0,0,1,1,0,0,0,1.582972583,1
C70027,Centaur,0.571428571,0,0.285714286,0,0,0.047619048,0,0.142857143,0,0,0.222222222,0,0.142857143,0,0,0.055555556,0,0.0625,0,0,0.533333333,0,1,0,0,1.43015873,0,1.633928571,0,0
C70028,Centaur,0.095238095,0.19047619,0.095238095,0,0.142857143,0.047619048,0.15,0,0,0.142857143,0,0,0.142857143,0,0,0.055555556,0.055555556,0,0,0,1,0.8,1,0,0.8,1.198412698,1.196031746,1.238095238,0,1.085714286
C70029,Cosmos,0,0,0.380952381,0.047619048,0.142857143,0,0,0.047619048,0.047619048,0.047619048,0,0,0.285714286,0,0.111111111,0,0,0.0625,0,0,0,0,1,1,0.666666667,0,0,1.776785714,1.095238095,0.968253968
C70030,Centaur,0.571428571,0,0,0,0,0.285714286,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.079365079,0,0,0,0
C70031,Odyssey,0,0,0,0.380952381,0,0,0,0,0.380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.761904762,0
C70032,Ebony,0,0.333333333,0,0,0.047619048,0,0.05,0,0,0.047619048,0,0.166666667,0,0,0,0,0.166666667,0,0,0,0,1,0,0,1,0,1.716666667,0,0,1.095238095
C70033,Ebony,0,0.238095238,0,0,0,0,0.05,0,0,0,0,0.166666667,0,0,0,0,0.055555556,0,0,0,0,1,0,0,0,0,1.51031746,0,0,0
C70034,Cosmos,0,0,0,0.095238095,0.095238095,0,0,0,0.047619048,0,0,0,0,0,0.111111111,0,0,0,0.090909091,0,0,0,0,1,1,0,0,0,1.233766234,1.206349206
C70035,Centaur,0.047619048,0,0,0.047619048,0.047619048,0.047619048,0,0,0.047619048,0.047619048,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.095238095,0,0,1.095238095,0.095238095
C70036,Ebony,0,0.095238095,0.095238095,0,0,0,0.1,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,1,1,0,0,0,1.195238095,1.238095238,0,0
C70037,Ebony,0,0.380952381,0,0.047619048,0,0,0.05,0,0.047619048,0,0,0.166666667,0,0,0,0,0.222222222,0,0,0,0,0.8,0,1,0,0,1.61984127,0,1.095238095,0
C70038,Ebony,0,0.714285714,0,0,0.095238095,0,0.4,0,0,0.095238095,0,0.166666667,0,0,0,0,0.166666667,0,0,0,0,1,0,0,0.466666667,0,2.447619048,0,0,0.657142857
C70039,Tokugawa,0,0.047619048,0.333333333,0.095238095,0,0,0.05,0.095238095,0.047619048,0,0,0,0.142857143,0,0,0,0,0.1875,0.090909091,0,0,0,1,1,0,0,0.097619048,1.758928571,1.233766234,0
C70040,Tokugawa,0,0.047619048,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.097619048,1,0,0
C70041,Odyssey,0,0.047619048,0,0.19047619,0,0,0,0,0.19047619,0,0,0,0,0,0,0,0.055555556,0,0,0,0,1,0,1,0,0,1.103174603,0,1.380952381,0
C70042,Ebony,0,0.714285714,0,0,0,0,0.25,0,0,0,0,0.666666667,0,0,0,0,0.055555556,0,0,0,0,0.4,0,0,0,0,2.086507937,0,0,0
